# Provenance: logpai/loghub @GitHub master — BGL/BGL_2k.log_structured.csv (Blue Gene/L supercomputer RAS log)
# Chunks fetched: 0, 1, 26, 40 of 54 (2026-09-24, fetch_page tool). Boundary partial rows dropped. Comment lines (#) are non-data.
LineId,Label,Timestamp,Date,Node,Time,NodeRepeat,Type,Component,Level,Content,EventId,EventTemplate
16,-,1117959501,2005.06.05,R24-M0-NE-C:J14-U11,2005-06-05-01.18.21.778604,R24-M0-NE-C:J14-U11,RAS,KERNEL,INFO,generating core.3276,E67,generating core.<*>
19,-,1117973759,2005.06.05,R31-M0-NE-C:J05-U11,2005-06-05-05.15.59.416717,R31-M0-NE-C:J05-U11,RAS,KERNEL,INFO,generating core.2079,E67,generating core.<*>
21,-,1117973919,2005.06.05,R33-M0-N4-C:J02-U11,2005-06-05-05.18.39.396608,R33-M0-N4-C:J02-U11,RAS,KERNEL,INFO,generating core.3055,E67,generating core.<*>
25,-,1117976658,2005.06.05,R36-M1-N8-C:J17-U11,2005-06-05-06.04.18.406158,R36-M1-N8-C:J17-U11,RAS,KERNEL,INFO,generating core.7828,E67,generating core.<*>
29,-,1117984124,2005.06.05,R36-M1-NF-C:J11-U01,2005-06-05-08.08.44.281729,R36-M1-NF-C:J11-U01,RAS,KERNEL,INFO,generating core.6545,E67,generating core.<*>
32,-,1117984216,2005.06.05,R30-M1-N3-C:J02-U01,2005-06-05-08.10.16.270131,R30-M1-N3-C:J02-U01,RAS,KERNEL,FATAL,force load/store alignment...............0,E64,force load/store alignment...............<*>
35,-,1117985464,2005.06.05,R32-M0-NF-C:J10-U01,2005-06-05-08.31.04.464776,R32-M0-NF-C:J10-U01,RAS,KERNEL,INFO,generating core.449,E67,generating core.<*>
39,-,1117988266,2005.06.05,R34-M1-NA-C:J07-U11,2005-06-05-09.17.46.225683,R34-M1-NA-C:J07-U11,RAS,KERNEL,INFO,generating core.7518,E67,generating core.<*>
43,-,1117989483,2005.06.05,R37-M0-N3-C:J14-U01,2005-06-05-09.38.03.456120,R37-M0-N3-C:J14-U01,RAS,KERNEL,INFO,generating core.3488,E67,generating core.<*>
46,-,1117989577,2005.06.05,R30-M0-ND-C:J07-U01,2005-06-05-09.39.37.590924,R30-M0-ND-C:J07-U01,RAS,KERNEL,INFO,generating core.786,E67,generating core.<*>
48,-,1117989601,2005.06.05,R32-M0-N2-C:J15-U01,2005-06-05-09.40.01.191177,R32-M0-N2-C:J15-U01,RAS,KERNEL,INFO,generating core.1524,E67,generating core.<*>
51,-,1117990951,2005.06.05,R31-M1-NF-C:J15-U01,2005-06-05-10.02.31.242619,R31-M1-NF-C:J15-U01,RAS,KERNEL,INFO,generating core.4368,E67,generating core.<*>
56,-,1117992553,2005.06.05,R30-M1-NB-C:J17-U11,2005-06-05-10.29.13.196439,R30-M1-NB-C:J17-U11,RAS,KERNEL,INFO,generating core.7192,E67,generating core.<*>
57,-,1118070512,2005.06.06,R01-M1-NB-C:J03-U11,2005-06-06-08.08.32.984716,R01-M1-NB-C:J03-U11,RAS,KERNEL,INFO,"CE sym 20, at 0x01228120, mask 0x10",E18,"CE sym <*>, at <*>, mask <*>"
58,-,1118070518,2005.06.06,R01-M1-ND-C:J15-U11,2005-06-06-08.08.38.414458,R01-M1-ND-C:J15-U11,RAS,KERNEL,INFO,"CE sym 5, at 0x11042a80, mask 0x04",E18,"CE sym <*>, at <*>, mask <*>"
67,-,1118112603,2005.06.06,R22-M0-N0-C:J08-U11,2005-06-06-19.50.03.669394,R22-M0-N0-C:J08-U11,RAS,KERNEL,INFO,generating core.430,E67,generating core.<*>
69,-,1118112700,2005.06.06,R23-M0-N0-I:J18-U01,2005-06-06-19.51.40.376079,R23-M0-N0-I:J18-U01,RAS,KERNEL,INFO,ciod: cpu 0 at treeaddr 438 sent unrecognized message 0xffffffff,E19,ciod: cpu <*> at treeaddr <*> sent unrecognized message <*>
72,-,1118149549,2005.06.07,R20-M0-N2-C:J09-U01,2005-06-07-06.05.49.961844,R20-M0-N2-C:J09-U01,RAS,KERNEL,INFO,generating core.3638,E67,generating core.<*>
77,-,1118172013,2005.06.07,R35-M0-N7-C:J10-U11,2005-06-07-12.20.13.966416,R35-M0-N7-C:J10-U11,RAS,KERNEL,INFO,generating core.2409,E67,generating core.<*>
83,-,1118183497,2005.06.07,R34-M0-N7-C:J09-U11,2005-06-07-15.31.37.435791,R34-M0-N7-C:J09-U11,RAS,KERNEL,INFO,generating core.122,E67,generating core.<*>
85,-,1118193358,2005.06.07,R11-M0-NC-I:J18-U01,2005-06-07-18.15.58.583443,R11-M0-NC-I:J18-U01,RAS,APP,FATAL,ciod: LOGIN chdir(/p/gb2/glosli/8M_5000K/t800) failed: No such file or directory,E37,ciod: LOGIN chdir(<*>) failed: No such file or directory
88,-,1118251556,2005.06.08,R16-M1-N2-C:J12-U01,2005-06-08-10.25.56.322381,R16-M1-N2-C:J12-U01,RAS,KERNEL,INFO,"CE sym 28, at 0x110067e0, mask 0x02",E18,"CE sym <*>, at <*>, mask <*>"
89,-,1118271740,2005.06.08,R03-M1-N9-C:J09-U11,2005-06-08-16.02.20.600478,R03-M1-N9-C:J09-U11,RAS,KERNEL,INFO,"1 ddr errors(s) detected and corrected on rank 0, symbol 25, bit 1",E2,"<*> ddr errors(s) detected and corrected on rank <*>, symbol <*>, bit <*>"
1204,-,1123030693,2005.08.02,R00-M0-ND,2005-08-02-17.58.13.994269,R00-M0-ND,NULL,DISCOVERY,INFO,"Node card VPD check: U11 node in processor card slot J16 do not match. VPD ecid 04DF80A7942FFFFF0C081AE08CD2, found 0000000000000000000000000000",E93,"Node card VPD check: U<*> node in processor card slot J<*> do not match. VPD ecid <*>, found <*>"
1205,-,1123042536,2005.08.02,UNKNOWN_LOCATION,2005-08-02-21.15.36.811548,UNKNOWN_LOCATION,NULL,DISCOVERY,SEVERE,Can not get assembly information for node card,E17,Can not get assembly information for node card
1206,-,1123043313,2005.08.02,UNKNOWN_LOCATION,2005-08-02-21.28.33.869729,UNKNOWN_LOCATION,NULL,DISCOVERY,INFO,New ido chip inserted into the database: FF:F2:9F:16:C4:C2:00:0D:60:E9:3B:3D ip=10.2.1.37 v=13 t=4,E88,New ido chip inserted into the database: <*> ip=<*> v=<*> t=<*>
1207,-,1123060215,2005.08.03,UNKNOWN_LOCATION,2005-08-03-02.10.15.206558,UNKNOWN_LOCATION,NULL,DISCOVERY,SEVERE,Can not get assembly information for node card,E17,Can not get assembly information for node card
1208,-,1123110662,2005.08.03,NULL,2005-08-03-16.11.02.839771,NULL,RAS,MMCS,ERROR,"idoproxydb hit ASSERT condition: ASSERT expression=0 Source file=idotransportmgr.cpp Source line=1043 Function=int IdoTransportMgr::SendPacket(IdoUdpMgr*, BglCtlPavTrace*)",E74,"idoproxydb hit ASSERT condition: ASSERT expression=0 Source file=idotransportmgr.cpp Source line=<*> Function=int IdoTransportMgr::SendPacket(IdoUdpMgr*, BglCtlPavTrace*)"
1210,-,1123110754,2005.08.03,NULL,2005-08-03-16.12.34.240816,NULL,RAS,MMCS,ERROR,"idoproxydb hit ASSERT condition: ASSERT expression=0 Source file=idotransportmgr.cpp Source line=1043 Function=int IdoTransportMgr::SendPacket(IdoUdpMgr*, BglCtlPavTrace*)",E74,"idoproxydb hit ASSERT condition: ASSERT expression=0 Source file=idotransportmgr.cpp Source line=<*> Function=int IdoTransportMgr::SendPacket(IdoUdpMgr*, BglCtlPavTrace*)"
1217,-,1123176466,2005.08.04,R71-M0-NC,2005-08-04-10.27.46.284345,R71-M0-NC,NULL,DISCOVERY,ERROR,Node card status: no ALERTs are active. Clock Mode is Low. Clock Select is Midplane. Phy JTAG Reset is asserted. ASIC JTAG Reset is asserted. Temperature Mask is not active. No temperature error. Temperature Limit Error Latch is clear. PGOOD IS NOT ASSERTED. PGOOD ERROR LATCH IS ACTIVE. MPGOOD IS NOT OK. MPGOOD ERROR LATCH IS ACTIVE. The 2.5 volt rail is OK. The 1.5 volt rail is OK.,E92,Node card status: no ALERTs are active. Clock Mode is Low. Clock Select is Midplane. Phy JTAG Reset is asserted. ASIC JTAG Reset is asserted. Temperature Mask is not active. No temperature error. Temperature Limit Error Latch is clear. PGOOD IS NOT ASSERTED. PGOOD ERROR LATCH IS ACTIVE. MPGOOD IS NOT OK. MPGOOD ERROR LATCH IS ACTIVE. The <*>.<*> volt rail is OK. The <*>.<*> volt rail is OK.
1218,-,1123176833,2005.08.04,R10-M1-N7,2005-08-04-10.33.53.378606,R10-M1-N7,NULL,DISCOVERY,INFO,"Node card VPD check: U01 node in processor card slot J14 do not match. VPD ecid 074C04C10F7BFFFF08051AE08ED2, found 04C180A5D12FFFFF05081BD088E2",E93,"Node card VPD check: U<*> node in processor card slot J<*> do not match. VPD ecid <*>, found <*>"
1219,-,1123178302,2005.08.04,R06-M1-ND,2005-08-04-10.58.22.010246,R06-M1-ND,NULL,DISCOVERY,WARNING,Node card is not fully functional,E90,Node card is not fully functional
1679,-,1131147217,2005.11.04,R63-M0-NF-C:J05-U01,2005-11-04-15.33.37.855786,R63-M0-NF-C:J05-U01,RAS,KERNEL,INFO,2667384 floating point alignment exceptions,E4,<*> floating point alignment exceptions
1680,-,1131147227,2005.11.04,R63-M0-N1-C:J05-U11,2005-11-04-15.33.47.360607,R63-M0-N1-C:J05-U11,RAS,KERNEL,INFO,iar 00106570 dear 0245a5bc,E70,iar <*> dear <*>
1683,-,1131148249,2005.11.04,R63-M0-N0-C:J03-U01,2005-11-04-15.50.49.414886,R63-M0-N0-C:J03-U01,RAS,KERNEL,INFO,407736 floating point alignment exceptions,E4,<*> floating point alignment exceptions
1689,-,1131156131,2005.11.04,R45-M1-NA-C:J11-U01,2005-11-04-18.02.11.252563,R45-M1-NA-C:J11-U01,RAS,KERNEL,INFO,"CE sym 21, at 0x111d8c60, mask 0x01",E18,"CE sym <*>, at <*>, mask <*>"
1690,-,1131163283,2005.11.04,R63-M0-N3-C:J02-U11,2005-11-04-20.01.23.415003,R63-M0-N3-C:J02-U11,RAS,KERNEL,INFO,instruction cache parity error corrected,E77,instruction cache parity error corrected
1692,-,1131218683,2005.11.05,R11-M1-N4-C:J03-U01,2005-11-05-11.24.43.382408,R11-M1-N4-C:J03-U01,RAS,KERNEL,INFO,"2 ddr errors(s) detected and corrected on rank 0, symbol 18, bit 6",E2,"<*> ddr errors(s) detected and corrected on rank <*>, symbol <*>, bit <*>"
1694,-,1131366730,2005.11.07,R50-M0-N4-I:J18-U01,2005-11-07-04.32.10.481855,R50-M0-N4-I:J18-U01,RAS,APP,FATAL,"ciod: Error loading /bgl/apps/followup/RAPTOR/pre-study/raptor.newcomp.r1: invalid or missing program image, Permission denied",E26,"ciod: Error loading /<*>: invalid or missing program image, Permission denied"
1699,-,1131470027,2005.11.08,R27-M0-N0-I:J18-U11,2005-11-08-09.13.47.353261,R27-M0-N0-I:J18-U11,RAS,KERNEL,INFO,ciod: generated 128 core files for program /g/g24/germann2/BGL-demo/SPaSM_mpi,E34,ciod: generated <*> core files for program <*>
1702,-,1131473377,2005.11.08,R62-M0-NA-C:J04-U11,2005-11-08-10.09.37.180669,R62-M0-NA-C:J04-U11,RAS,KERNEL,INFO,iar 001061e8 dear 0247015c,E70,iar <*> dear <*>
1710,-,1131477523,2005.11.08,R62-M0-N9-C:J09-U11,2005-11-08-11.18.43.884902,R62-M0-N9-C:J09-U11,RAS,KERNEL,INFO,iar 001061e8 dear 0247015c,E70,iar <*> dear <*>
1718,-,1131484346,2005.11.08,R63-M0-N6-C:J13-U11,2005-11-08-13.12.26.089394,R63-M0-N6-C:J13-U11,RAS,KERNEL,INFO,19220208 floating point alignment exceptions,E4,<*> floating point alignment exceptions
